0
{'IdSession': 935895, 'IdPSX': 1, 'IdSubscriber': 32079, 'StartSession': '23-01-2025 08:55:44', 'EndSession': '23-01-2025 10:50:48', 'Duration': 6904, 'UpTx': 262202396, 'DownTx': 700656220}
{'IdSession': 7721, 'IdPSX': 1, 'IdSubscriber': 32079, 'StartSession': '15-10-2024 18:08:16', 'EndSession': '', 'Duration': 51352, 'UpTx': 136031013, 'DownTx': 973573716}
{'IdSession': 470185, 'IdPSX': 1, 'IdSubscriber': 32079, 'StartSession': '15-10-2024 19:46:40', 'EndSession': '16-10-2024 08:29:51', 'Duration': 45791, 'UpTx': 911427708, 'DownTx': 616591847}
{'IdSession': 974698, 'IdPSX': 1, 'IdSubscriber': 32079, 'StartSession': '24-05-2024 01:10:10', 'EndSession': '24-05-2024 17:49:54', 'Duration': 59984, 'UpTx': 616035963, 'DownTx': 60891674}
{'IdSession': 510609, 'IdPSX': 1, 'IdSubscriber': 32079, 'StartSession': '06-06-2024 14:52:14', 'EndSession': '06-06-2024 18:38:16', 'Duration': 13562, 'UpTx': 660735816, 'DownTx': 984215969}
{'IdSession': 108738, 'IdPSX': 2, 'IdSubscriber': 32079, 'StartSession': '2024-08-27 11:29:53', 'EndSession': '2024-08-28 00:20:42', 'Duration': 46249, 'UpTx': 2686468412, 'DownTx': 5608882711}
{'IdSession': 291779, 'IdPSX': 0, 'IdSubscriber': 32079, 'StartSession': '13/11/2024 09:48:44', 'EndSession': '', 'Duration': 46496, 'UpTx': 2771693635, 'DownTx': 8744859039}
{'IdSession': 365296, 'IdPSX': 1, 'IdSubscriber': 43861, 'StartSession': '14-07-2024 11:29:14', 'EndSession': '', 'Duration': 58230, 'UpTx': 73291990, 'DownTx': 479455053}
{'IdSession': 414465, 'IdPSX': 0, 'IdSubscriber': 43861, 'StartSession': '11/04/2025 08:14:54', 'EndSession': '11/04/2025 12:02:58', 'Duration': 13684, 'UpTx': 3213671678, 'DownTx': 3785216095}
{'IdSession': 445089, 'IdPSX': 2, 'IdSubscriber': 43861, 'StartSession': '2024-07-25 05:21:38', 'EndSession': '2024-07-26 04:26:41', 'Duration': 83103, 'UpTx': 6938944356, 'DownTx': 9092742821}
{'IdSession': 221910, 'IdPSX': 3, 'IdSubscriber': 43861, 'StartSession': '04/20/2024 19:45:48', 'EndSession': '', 'Duration': 32959, 'UpTx': 155867113, 'DownTx': 492701489}
{'IdSession': 994154, 'IdPSX': 0, 'IdSubscriber': 43861, 'StartSession': '06/05/2024 22:46:36', 'EndSession': '07/05/2024 19:56:15', 'Duration': 76179, 'UpTx': 8480388068, 'DownTx': 8211645874}
{'IdSession': 30591, 'IdPSX': 1, 'IdSubscriber': 43861, 'StartSession': '12-06-2024 22:04:51', 'EndSession': '', 'Duration': 79029, 'UpTx': 925460359, 'DownTx': 125008198}
{'IdSession': 690865, 'IdPSX': 0, 'IdSubscriber': 43861, 'StartSession': '05/01/2025 20:11:21', 'EndSession': '06/01/2025 08:23:50', 'Duration': 43949, 'UpTx': 8127295829, 'DownTx': 2166983670}
{'IdSession': 887760, 'IdPSX': 3, 'IdSubscriber': 43861, 'StartSession': '07/04/2024 10:51:16', 'EndSession': '07/05/2024 02:10:44', 'Duration': 55168, 'UpTx': 773426940, 'DownTx': 925925731}
{'IdSession': 238593, 'IdPSX': 1, 'IdSubscriber': 43861, 'StartSession': '11-01-2025 08:50:15', 'EndSession': '11-01-2025 18:18:49', 'Duration': 34114, 'UpTx': 261564043, 'DownTx': 820339191}
{'IdSession': 934610, 'IdPSX': 0, 'IdSubscriber': 43861, 'StartSession': '27/10/2024 16:55:54', 'EndSession': '28/10/2024 00:41:52', 'Duration': 27958, 'UpTx': 9052831237, 'DownTx': 7712823921}
{'IdSession': 59998, 'IdPSX': 1, 'IdSubscriber': 43861, 'StartSession': '02-03-2025 01:31:15', 'EndSession': '', 'Duration': 63233, 'UpTx': 656157349, 'DownTx': 350416811}
{'IdSession': 619942, 'IdPSX': 0, 'IdSubscriber': 43861, 'StartSession': '22/12/2024 12:07:02', 'EndSession': '22/12/2024 16:30:45', 'Duration': 15823, 'UpTx': 9288327183, 'DownTx': 3154469648}
{'IdSession': 800771, 'IdPSX': 2, 'IdSubscriber': 43861, 'StartSession': '2024-10-20 21:29:57', 'EndSession': '', 'Duration': 75824, 'UpTx': 3302795120, 'DownTx': 5071036502}
{'IdSession': 618365, 'IdPSX': 3, 'IdSubscriber': 43861, 'StartSession': '05/10/2024 20:03:05', 'EndSession': '05/11/2024 07:08:27', 'Duration': 39922, 'UpTx': 710363386, 'DownTx': 880359826}
{'IdSession': 257136, 'IdPSX': 0, 'IdSubscriber': 43861, 'StartSession': '25/07/2024 15:13:04', 'EndSession': '26/07/2024 09:50:46', 'Duration': 67062, 'UpTx': 7678847809, 'DownTx': 6712302456}
{'IdSession': 747652, 'IdPSX': 3, 'IdSubscriber': 5483, 'StartSession': '02/16/2025 04:56:53', 'EndSession': '02/17/2025 04:23:42', 'Duration': 84409, 'UpTx': 564195719, 'DownTx': 654322563}
{'IdSession': 451814, 'IdPSX': 1, 'IdSubscriber': 5483, 'StartSession': '16-12-2024 00:13:34', 'EndSession': '16-12-2024 23:38:01', 'Duration': 84267, 'UpTx': 646102755, 'DownTx': 848627705}
{'IdSession': 915260, 'IdPSX': 2, 'IdSubscriber': 5483, 'StartSession': '2024-11-28 00:17:38', 'EndSession': '2024-11-28 10:09:41', 'Duration': 35523, 'UpTx': 5279408251, 'DownTx': 2027629238}
{'IdSession': 189023, 'IdPSX': 2, 'IdSubscriber': 5483, 'StartSession': '2025-03-26 14:30:03', 'EndSession': '2025-03-26 19:06:45', 'Duration': 16602, 'UpTx': 930318160, 'DownTx': 127301083}
{'IdSession': 184368, 'IdPSX': 2, 'IdSubscriber': 5483, 'StartSession': '2025-02-08 08:22:46', 'EndSession': '2025-02-08 16:01:22', 'Duration': 27516, 'UpTx': 5752491274, 'DownTx': 3666932056}
{'IdSession': 869217, 'IdPSX': 2, 'IdSubscriber': 96809, 'StartSession': '2024-05-12 02:06:21', 'EndSession': '2024-05-12 16:34:01', 'Duration': 52060, 'UpTx': 1322826641, 'DownTx': 9991147940}
{'IdSession': 657252, 'IdPSX': 3, 'IdSubscriber': 96809, 'StartSession': '05/19/2024 11:15:50', 'EndSession': '', 'Duration': 40181, 'UpTx': 458243718, 'DownTx': 132906892}
{'IdSession': 691700, 'IdPSX': 2, 'IdSubscriber': 96809, 'StartSession': '2024-09-28 05:21:07', 'EndSession': '2024-09-28 10:20:51', 'Duration': 17984, 'UpTx': 8390662841, 'DownTx': 1337245301}
{'IdSession': 61456, 'IdPSX': 3, 'IdSubscriber': 96809, 'StartSession': '01/28/2025 11:33:55', 'EndSession': '01/29/2025 06:33:51', 'Duration': 68396, 'UpTx': 560730121, 'DownTx': 106608349}
{'IdSession': 545369, 'IdPSX': 0, 'IdSubscriber': 96809, 'StartSession': '12/05/2024 08:16:44', 'EndSession': '', 'Duration': 54344, 'UpTx': 9847187303, 'DownTx': 9304143271}
{'IdSession': 400179, 'IdPSX': 3, 'IdSubscriber': 82726, 'StartSession': '06/22/2024 18:24:34', 'EndSession': '06/23/2024 04:59:53', 'Duration': 38119, 'UpTx': 471016401, 'DownTx': 826350404}
{'IdSession': 455721, 'IdPSX': 0, 'IdSubscriber': 82726, 'StartSession': '24/04/2024 06:21:22', 'EndSession': '', 'Duration': 24800, 'UpTx': 2298790785, 'DownTx': 7320499244}
{'IdSession': 409181, 'IdPSX': 2, 'IdSubscriber': 82726, 'StartSession': '2024-12-02 10:45:40', 'EndSession': '2024-12-03 07:57:00', 'Duration': 76280, 'UpTx': 8392915488, 'DownTx': 6120250396}
{'IdSession': 371580, 'IdPSX': 3, 'IdSubscriber': 82726, 'StartSession': '04/26/2024 15:04:35', 'EndSession': '04/26/2024 21:25:13', 'Duration': 22838, 'UpTx': 644570044, 'DownTx': 632183994}
{'IdSession': 969271, 'IdPSX': 1, 'IdSubscriber': 82726, 'StartSession': '19-12-2024 13:13:26', 'EndSession': '20-12-2024 03:50:21', 'Duration': 52615, 'UpTx': 810807295, 'DownTx': 406020278}
{'IdSession': 631212, 'IdPSX': 1, 'IdSubscriber': 2715, 'StartSession': '30-04-2024 13:09:05', 'EndSession': '01-05-2024 05:47:26', 'Duration': 59901, 'UpTx': 876674729, 'DownTx': 755566648}
{'IdSession': 834515, 'IdPSX': 0, 'IdSubscriber': 2715, 'StartSession': '28/09/2024 11:39:23', 'EndSession': '28/09/2024 23:38:51', 'Duration': 43168, 'UpTx': 2382903578, 'DownTx': 2104020147}
{'IdSession': 227546, 'IdPSX': 0, 'IdSubscriber': 2715, 'StartSession': '09/01/2025 01:49:04', 'EndSession': '09/01/2025 17:03:17', 'Duration': 54853, 'UpTx': 5462934693, 'DownTx': 5919611975}
{'IdSession': 373639, 'IdPSX': 0, 'IdSubscriber': 2715, 'StartSession': '05/09/2024 05:22:18', 'EndSession': '06/09/2024 05:09:34', 'Duration': 85636, 'UpTx': 7973449034, 'DownTx': 5800600785}
{'IdSession': 140415, 'IdPSX': 0, 'IdSubscriber': 2715, 'StartSession': '17/11/2024 07:46:42', 'EndSession': '18/11/2024 06:38:20', 'Duration': 82298, 'UpTx': 8407145557, 'DownTx': 6711466084}
{'IdSession': 814710, 'IdPSX': 1, 'IdSubscriber': 86950, 'StartSession': '08-03-2025 05:52:50', 'EndSession': '08-03-2025 23:04:58', 'Duration': 61928, 'UpTx': 727304905, 'DownTx': 678150201}
{'IdSession': 887414, 'IdPSX': 1, 'IdSubscriber': 86950, 'StartSession': '22-10-2024 18:18:30', 'EndSession': '22-10-2024 23:35:20', 'Duration': 19010, 'UpTx': 212216546, 'DownTx': 585567804}
{'IdSession': 990484, 'IdPSX': 1, 'IdSubscriber': 86950, 'StartSession': '20-07-2024 11:56:12', 'EndSession': '21-07-2024 06:34:15', 'Duration': 67083, 'UpTx': 700701328, 'DownTx': 719594879}
{'IdSession': 726640, 'IdPSX': 2, 'IdSubscriber': 86950, 'StartSession': '2024-08-22 15:23:55', 'EndSession': '2024-08-23 06:16:18', 'Duration': 53543, 'UpTx': 1059050793, 'DownTx': 4008777762}
