0
{'IdSession': 541323, 'IdPSX': 0, 'IdSubscriber': 98986, 'StartSession': '04/08/2024 09:08:30', 'EndSession': '', 'Duration': 63317, 'UpTx': 5699417166, 'DownTx': 5086938811}
{'IdSession': 171691, 'IdPSX': 2, 'IdSubscriber': 69448, 'StartSession': '2024-06-20 21:23:45', 'EndSession': '2024-06-21 06:33:43', 'Duration': 32998, 'UpTx': 7427147688, 'DownTx': 2175360657}
{'IdSession': 926055, 'IdPSX': 3, 'IdSubscriber': 69448, 'StartSession': '08/14/2024 10:55:36', 'EndSession': '08/14/2024 13:42:01', 'Duration': 9985, 'UpTx': 663344497, 'DownTx': 493131631}
{'IdSession': 642576, 'IdPSX': 2, 'IdSubscriber': 69448, 'StartSession': '2024-05-02 11:58:28', 'EndSession': '2024-05-02 20:51:21', 'Duration': 31973, 'UpTx': 2595134121, 'DownTx': 9987541923}
{'IdSession': 832875, 'IdPSX': 2, 'IdSubscriber': 69448, 'StartSession': '2025-02-03 20:13:20', 'EndSession': '2025-02-03 23:48:19', 'Duration': 12899, 'UpTx': 4755172300, 'DownTx': 9869111191}
{'IdSession': 142213, 'IdPSX': 3, 'IdSubscriber': 69448, 'StartSession': '03/25/2025 23:18:03', 'EndSession': '', 'Duration': 11043, 'UpTx': 180962590, 'DownTx': 746338159}
{'IdSession': 591968, 'IdPSX': 1, 'IdSubscriber': 69448, 'StartSession': '11-05-2024 17:13:30', 'EndSession': '11-05-2024 23:42:55', 'Duration': 23365, 'UpTx': 406288068, 'DownTx': 484450645}
{'IdSession': 83539, 'IdPSX': 3, 'IdSubscriber': 69448, 'StartSession': '04/06/2025 15:21:30', 'EndSession': '04/07/2025 12:19:13', 'Duration': 75463, 'UpTx': 13891543, 'DownTx': 991884098}
{'IdSession': 429242, 'IdPSX': 2, 'IdSubscriber': 69448, 'StartSession': '2024-12-11 14:08:07', 'EndSession': '2024-12-12 00:13:17', 'Duration': 36310, 'UpTx': 811140729, 'DownTx': 5723478008}
{'IdSession': 262530, 'IdPSX': 3, 'IdSubscriber': 69448, 'StartSession': '11/22/2024 02:53:58', 'EndSession': '11/22/2024 21:38:13', 'Duration': 67455, 'UpTx': 16622311, 'DownTx': 238025881}
{'IdSession': 134079, 'IdPSX': 1, 'IdSubscriber': 69448, 'StartSession': '24-08-2024 11:56:01', 'EndSession': '24-08-2024 15:42:08', 'Duration': 13567, 'UpTx': 951110019, 'DownTx': 279405195}
